Time [s],Ch 1 [C],Ch 2 [C],Ch 3 [C],Ch 4 [C],Ch 5 [C],Ch 6 [C],Ch 7 [C],Ch 8 [C],Ch 9 [C],Ch 10 [C],Ch 11 [C],Ch 12 [C],Ch 13 [C],Ch 14 [C],Ch 15 [C],T_Jet [C],Ch 16 [C],Ch 17 [C],Ch 18 [C],Ch 19 [C],Ch 20 [C],Ch 21 [C],Ch 22 [C],Ch 23 [C],Ch 25 [C],Ch 26 [C],Ch 27 [C],Ch 28 [C],Ch 29 [C],Ch 30 [C],Ch 31 [C],T_ambient [C],T_Heat Flux [C],Heat Flux [W/m^2],P_heater [W]
103.281,56.613,56.726,56.905,56.83,56.849,56.857,56.753,56.718,56.643,56.725,56.706,56.809,56.777,56.722,56.708,34.482,56.919,57.042,57.012,57.043,57.088,57.039,56.917,56.892,56.908,56.867,56.713,56.79,56.755,56.608,56.418,26.653,57.773,0.016,99.92
105.937,56.676,56.779,56.969,56.889,56.905,56.922,56.822,56.803,56.713,56.769,56.771,56.868,56.844,56.795,56.782,34.486,56.981,57.1,57.057,57.099,57.142,57.096,56.978,56.969,56.966,56.893,56.772,56.86,56.816,56.674,56.476,26.634,57.87,0.009,99.919
108.594,56.74,56.855,57.038,56.966,56.952,56.968,56.876,56.855,56.782,56.852,56.829,56.944,56.916,56.867,56.839,34.503,57.042,57.151,57.107,57.168,57.211,57.178,57.042,57.043,57.043,56.968,56.84,56.921,56.876,56.749,56.531,26.599,57.957,0.021,99.917
111.234,56.813,56.916,57.104,57.026,57.029,57.037,56.939,56.922,56.843,56.905,56.896,56.993,56.971,56.918,56.901,34.501,57.108,57.223,57.176,57.228,57.281,57.243,57.111,57.1,57.109,57.04,56.917,56.989,56.965,56.809,56.603,26.557,58.038,0.031,99.917
113.875,56.885,56.982,57.175,57.082,57.097,57.101,57,56.98,56.913,56.961,56.957,57.042,57.012,56.979,56.948,34.508,57.165,57.292,57.256,57.287,57.338,57.308,57.179,57.172,57.164,57.097,56.969,57.044,57.012,56.874,56.676,26.564,58.135,0.032,99.916
116.531,56.958,57.063,57.249,57.161,57.168,57.166,57.08,57.043,56.958,57.028,57.003,57.114,57.076,57.043,57.015,34.512,57.235,57.342,57.309,57.355,57.41,57.38,57.242,57.237,57.23,57.161,57.036,57.108,57.082,56.93,56.739,26.564,58.2,0.038,99.916
119.172,57.01,57.105,57.308,57.207,57.24,57.239,57.139,57.118,57.028,57.097,57.082,57.173,57.133,57.098,57.084,34.516,57.288,57.419,57.373,57.42,57.467,57.445,57.315,57.298,57.289,57.228,57.092,57.193,57.143,57.003,56.789,26.576,58.297,0.049,99.916
121.828,57.059,57.176,57.365,57.278,57.285,57.297,57.201,57.178,57.091,57.157,57.14,57.239,57.223,57.182,57.156,34.518,57.356,57.486,57.442,57.497,57.525,57.497,57.375,57.368,57.368,57.311,57.151,57.25,57.209,57.045,56.86,26.573,58.381,0.03,99.914
124.469,57.126,57.243,57.423,57.337,57.357,57.358,57.252,57.233,57.165,57.23,57.207,57.308,57.269,57.239,57.198,34.53,57.407,57.546,57.509,57.551,57.606,57.562,57.43,57.427,57.416,57.361,57.221,57.31,57.278,57.118,56.906,26.602,58.455,0.054,99.913
127.109,57.2,57.309,57.49,57.406,57.418,57.418,57.326,57.287,57.206,57.288,57.273,57.368,57.342,57.311,57.283,34.549,57.478,57.611,57.575,57.614,57.646,57.628,57.51,57.489,57.493,57.424,57.282,57.367,57.34,57.195,56.983,26.624,58.552,0.068,99.911
129.766,57.233,57.366,57.552,57.458,57.489,57.489,57.397,57.366,57.276,57.365,57.324,57.437,57.421,57.358,57.329,34.532,57.54,57.677,57.634,57.68,57.719,57.703,57.569,57.568,57.559,57.484,57.349,57.435,57.417,57.267,57.041,26.595,58.63,0.092,99.909
132.406,57.311,57.431,57.621,57.527,57.555,57.561,57.458,57.43,57.361,57.421,57.401,57.507,57.473,57.432,57.404,34.547,57.617,57.756,57.704,57.747,57.782,57.764,57.639,57.624,57.61,57.561,57.409,57.506,57.466,57.31,57.114,26.605,58.705,0.082,99.909
